count	valid	test	verified	noise	noise2	noise4	noise8	noise16	sort_by	!real
3	0.733333333	0.790697674	0.790697674	0.874207276	0.815128505	0.75963785	0.685330441	0.492698598	1.157364341	0.833864796
1	0.733333333	0.790697674	0.798449612	0.741196595	0.647112817	0.593708278	0.518316088	0.40115988	1.157364341	0.871970663
1	0.733333333	0.790697674	0.790697674	0.755048398	0.674899866	0.621787383	0.553529706	0.406500334	1.157364341	0.838329082
3	0.748148148	0.782945736	0.829457364	0.791013017	0.708486315	0.649783044	0.573264352	0.414677904	1.157019811	0.849330357
3	0.696296296	0.80620155	0.782945736	0.778579773	0.699140521	0.648114152	0.574140521	0.421019693	1.154349699	0.831792092
3	0.725925926	0.790697674	0.744186047	0.775033378	0.69421729	0.636598798	0.563751669	0.417097797	1.153660637	0.850446429
2	0.744444444	0.779069767	0.782945736	0.817673565	0.736523698	0.679781375	0.593332777	0.432242991	1.15129199	0.858896684
3	0.725925926	0.775193798	0.821705426	0.808911883	0.725634179	0.66442757	0.582777036	0.427278037	1.138156761	0.853156888
3	0.740740741	0.76744186	0.775193798	0.753963618	0.675609146	0.623706609	0.556909212	0.410046729	1.137812231	0.841517857
1	0.688888889	0.790697674	0.76744186	0.758386182	0.679030374	0.625	0.552653538	0.402995661	1.135142119	0.82684949
1	0.733333333	0.76744186	0.790697674	0.723965287	0.631258344	0.581441923	0.510972964	0.382927236	1.134108527	0.860172194
1	0.733333333	0.76744186	0.775193798	0.853763351	0.789177236	0.731850801	0.65933745	0.480515688	1.134108527	0.838169643
1	0.733333333	0.76744186	0.76744186	0.783711615	0.698514686	0.641730641	0.565921228	0.420560748	1.134108527	0.85283801
1	0.711111111	0.76744186	0.798449612	0.73472964	0.645110147	0.590912884	0.520443925	0.394651202	1.122997416	0.864317602
1	0.711111111	0.76744186	0.782945736	0.761223298	0.681408545	0.622580107	0.558786716	0.413426235	1.122997416	0.841358418
1	0.755555556	0.744186047	0.759689922	0.875625834	0.81704773	0.753546395	0.676860814	0.487691923	1.121963824	0.840242347
1	0.688888889	0.76744186	0.775193798	0.719250668	0.626585447	0.572972296	0.503296061	0.375083445	1.111886305	0.852678571
1	0.711111111	0.744186047	0.751937984	0.655665888	0.564252336	0.514018692	0.445844459	0.310747664	1.099741602	0.856983418
1	0.755555556	0.720930233	0.782945736	0.730181909	0.639769693	0.582109479	0.50926235	0.37917223	1.09870801	0.864477041
3	0.725925926	0.728682171	0.782945736	0.730181909	0.650867824	0.594250668	0.536089786	0.392565087	1.091645134	0.823979592
1	0.688888889	0.744186047	0.620155039	0.371286716	0.291847463	0.216622163	0.199015354	0.127837116	1.088630491	0.655452806
1	0.688888889	0.744186047	0.744186047	0.859062083	0.799148865	0.739319092	0.664052069	0.484521028	1.088630491	0.826690051
1	0.733333333	0.720930233	0.751937984	0.826101469	0.757134513	0.712533378	0.63680741	0.466789052	1.087596899	0.819674745
1	0.555555556	0.790697674	0.612403101	0.538926903	0.412716956	0.363818425	0.31087283	0.214452603	1.068475452	0.649553571
1	0.6	0.76744186	0.620155039	0.383511348	0.295310414	0.228471295	0.202645194	0.140645861	1.06744186	0.62372449
1	0.688888889	0.720930233	0.782945736	0.835781041	0.770360481	0.715328772	0.647696929	0.472880507	1.065374677	0.818399235
1	0.6	0.744186047	0.643410853	0.386306742	0.282543391	0.243533044	0.200350467	0.169601135	1.044186047	0.69403699
1	0.622222222	0.720930233	0.651162791	0.410881175	0.304072096	0.273239319	0.217456609	0.183786716	1.032041344	0.69403699
1	0.666666667	0.697674419	0.736434109	0.611023031	0.541013017	0.489527704	0.442089453	0.321094793	1.031007752	0.778061224
1	0.688888889	0.674418605	0.720930233	0.34228972	0.246995995	0.230432243	0.184120494	0.159963284	1.018863049	0.73565051
1	0.622222222	0.697674419	0.790697674	0.674899866	0.603846796	0.546562083	0.488442924	0.357142857	1.00878553	0.813616071
1	0.622222222	0.697674419	0.705426357	0.652995661	0.580941255	0.586239987	0.519567757	0.417431575	1.00878553	0.780452806
1	0.622222222	0.697674419	0.666666667	0.35956275	0.290720961	0.26489486	0.216622163	0.191588785	1.00878553	0.67059949
1	0.711111111	0.651162791	0.759689922	0.938084112	0.896028037	0.845961282	0.763142523	0.643775033	1.006718346	0.814891582
1	0.711111111	0.651162791	0.759689922	0.938084112	0.896028037	0.845961282	0.763142523	0.643775033	1.006718346	0.814891582
1	0.644444444	0.674418605	0.682170543	0.358603138	0.395735981	0.2689002	0.240028371	0.16442757	0.996640827	0.665975765
3	0.644444444	0.674418605	0.682170543	0.358603138	0.395735981	0.2689002	0.240028371	0.16442757	0.996640827	0.665975765
1	0.688888889	0.651162791	0.682170543	0.420018358	0.320719292	0.267773698	0.228137517	0.168015688	0.995607235	0.66932398
1	0.688888889	0.651162791	0.713178295	0.482226302	0.317923899	0.209946595	0.145360481	0.108311081	0.995607235	0.790975765
2	0.544444444	0.709302326	0.635658915	0.476885848	0.351844126	0.264561081	0.248039052	0.179447597	0.981524548	0.632971939
1	0.6	0.674418605	0.589147287	0.295477303	0.223506342	0.164344126	0.164093792	0.111273364	0.974418605	0.528380102
