Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
96	700	-0.10203	-25.269	0.01218	12.396	97.371	0.29524	1.4386	1.4007	12.512	0.0985
110	250	0.00268	-5.0161	0.04868	17.948	100.04	0.38604	2.0561	2.0568	12.489	0.0825
103	1550	261.5	166.22	566.94	20.06	82.006	1.6887	2.3473	1.9222	12.501	0.363
35	1400	972.83	623.8	2044.5	28.641	40.764	0.815	3.9235	1.5984	12.713	1.4485
37	700	2.711	-5.4467	7.8346	13.679	98.049	0.34435	1.5658	1.5356	12.675	0.146
51	1800	465.13	284.14	1010.8	28.561	76.23	0.68715	3.9049	2.9766	12.661	0.386
75	250	0	-21.503	0	12.599	98.212	0.13032	1.4579	1.4319	12.577	0.0875
98	1700	385.88	206.43	811.61	20.071	65.933	1.1902	2.3474	1.5477	12.513	0.4885
119	1000	133.46	70.36	287.12	18.15	86.513	0.7659	2.0824	1.8015	12.464	0.1165
35	1050	649.81	386.77	1404	23.314	52.697	0.53335	2.8634	1.5081	12.688	1.2125
34	1650	769.79	497.52	1658.7	26.077	53.572	0.98826	3.3763	1.8086	12.708	1.094
110	2350	-0.11542	-17.186	-1.0714	13.621	99.278	0.00617	1.5586	1.5474	12.484	0.0825
117	750	-0.10468	-13.178	1.1566	15.525	70.547	0.39901	1.7627	1.2433	12.465	0.1975
96	1750	289.06	129.67	605.03	20.149	58.766	0.88912	2.3591	1.3857	12.52	0.3645
41	800	70.326	37.154	151	20.14	97.403	0.4407	2.3576	2.2963	12.672	0.192
84	500	-1.4746	-19.956	-0.01218	9.1078	99.903	0.0701	1.1557	1.1546	12.539	0.059
55	350	-0.49902	-3.1924	-0.01217	18.567	99.815	0.11643	2.1376	2.1336	12.64	0.0635
116	1050	137.92	83.765	284.3	15.663	85.988	0.33693	1.7785	1.5284	12.459	0.468
51	900	69.977	47.63	154.01	21.606	101.8	0.084	2.5802	2.6267	12.652	0.0595
81	1400	856.17	564.99	1800.6	23.373	63.519	1.2319	2.8727	1.8247	12.564	0.9435
36	1550	884.93	575.91	1867.2	26.97	43.398	1.1337	3.5589	1.5441	12.7	1.231
47	2250	-0.05899	-12.173	-1.4413	21.321	95.373	-0.02811	2.5354	2.4181	12.664	0.084
98	1300	733.9	472.31	1541.1	22.155	60.973	1.256	2.6682	1.6267	12.513	0.9095
59	900	182.72	110.31	380.03	20.74	101.69	0.47591	2.4469	2.4883	12.626	0.101
35	1600	845.74	551.81	1783.3	28.723	43.401	0.90395	3.9421	1.7108	12.713	1.2445
97	400	-0.1718	-37.362	-0.09741	12.742	92.683	0.19332	1.472	1.3638	12.512	0.0645
83	750	0.38683	1.2101	0.04265	11.112	101.4	0.21927	1.3221	1.3408	12.546	0.1215
104	0	0.14763	-18.152	0.06087	15.898	100.54	0.56207	1.8053	1.8149	12.503	0.068
89	1200	306	188.33	622.21	20.133	60.543	0.55373	2.3602	1.423	12.533	0.8215
78	400	-1.728	-9.8619	-0.43814	17.393	95.001	0.43236	1.9853	1.886	12.568	0.1215
85	250	-0.03223	-19.718	0.00609	9.4053	98.915	0.00524	1.1791	1.1663	12.539	0.0575
35	700	4.5593	-18.351	13.653	9.7523	96.224	0.02099	1.2069	1.1613	12.677	0.0665
119	850	13.346	-0.3811	27.466	15.535	95.96	0.11086	1.7638	1.6925	12.458	0.1505
70	2000	5.8315	-18.787	14.096	17.065	84.836	0.1155	1.9448	1.6496	12.593	0.083
120	150	0.46704	-8.3104	0.04261	17.215	99.723	0.81593	1.9632	1.9578	12.456	0.1205
73	850	59.426	33.263	121.97	18.02	101.88	-0.02996	2.0656	2.1043	12.575	0.165
59	450	0.02951	-3.4476	2.0379	19.787	101.59	0.68252	2.3065	2.3431	12.627	0.09
89	450	-0.03489	-7.2238	-1.534	14.325	99.511	0.10623	1.6315	1.6235	12.537	0.054
90	800	8.3704	-17.778	24.827	6.772	99.511	0.02285	0.98571	0.98091	12.521	0.07
91	750	0.16105	-2.2751	0.03044	15.425	100.26	0.6436	1.7514	1.756	12.53	0.0705
34	1400	666.12	413.88	1417.9	25.203	52.407	0.55373	3.2071	1.6775	12.701	1.499
79	1150	184.3	116.57	371.51	17.779	101.67	0.45367	2.0345	2.0684	12.561	0.199
109	250	-0.36773	-10.067	0.60265	15.246	101.37	0.0071	1.7314	1.7551	12.484	0.064
112	1600	205.78	112.48	456.4	21.694	71.203	0.27578	2.5952	1.8454	12.48	0.3965
41	2300	-0.39162	-1.115	-0.16425	19.583	100.98	1.0568	2.2774	2.2997	12.679	0.032
59	1200	476.19	307.4	1007.8	22.478	94.154	1.3042	2.7211	2.5618	12.624	0.5075
90	1200	457.89	280.24	1003.7	20.268	63.663	0.75108	2.3767	1.5128	12.527	0.739
68	1400	727.48	486.23	1549.8	26.942	67.527	0.71031	3.5533	2.3988	12.603	0.8875
106	900	80.888	34.427	182.17	9.0172	101.43	0.04138	1.151	1.1678	12.481	0.099
44	550	-0.79933	-5.6223	-0.88815	20.46	99.731	0.10623	2.4046	2.3981	12.672	0.067
53	1600	258.57	170.55	545.35	23.381	82.591	0.58338	2.8744	2.3728	12.65	0.5625
47	1800	235.34	149.19	548.77	25.072	72.467	0.64175	3.1807	2.3047	12.668	0.394
106	600	0.23372	-21.981	0.01828	7.3057	99.445	0.05713	1.0224	1.0168	12.481	0.051
106	850	18.068	-6.7013	56.223	7.3938	100.52	0.08492	1.0286	1.034	12.481	0.1025
120	100	0.03221	-7.1364	-0.03652	17.182	99.794	0.84187	1.959	1.955	12.463	0.092
48	1800	78.301	46.007	173.08	21.871	101.32	0.18962	2.6222	2.6568	12.657	0.0765
103	1650	234.01	140.77	512.44	19.189	85.766	1.8842	2.2229	1.9056	12.507	0.2065
45	2250	-0.17161	-11.976	-0.74191	20.64	96.764	0.03952	2.4314	2.3528	12.671	0.1185
100	1450	463.41	303.53	955.86	21.314	61.698	0.67232	2.5348	1.563	12.507	0.7455
63	250	-0.13152	-18.966	-0.37742	14.08	102.34	0.03211	1.6058	1.6435	12.609	0.0535
89	950	222.92	123.84	492.13	15.368	93.8	0.09234	1.7485	1.6334	12.532	0.672
114	1150	501.13	293.39	1072.4	18.172	66.59	0.5176	2.0854	1.3884	12.464	0.673
109	300	-0.22278	-8.3145	0.40786	15.216	101.55	0.00432	1.7281	1.7549	12.484	0.068
116	1450	311.13	199.79	651.25	17.667	73.362	0.6714	2.0207	1.4811	12.463	0.5715
94	50	-1.5219	-48.955	-0.23741	12.726	90.321	0.17757	1.4705	1.3278	12.524	0.1125
68	1700	363.56	232.43	753.47	24.603	75.846	0.78351	3.0937	2.3457	12.609	0.3695
97	800	7.5865	-42.726	19.909	14.219	85.251	0.47961	1.6204	1.3813	12.512	0.168
55	750	5.8357	-0.86024	17.075	18.022	99.181	0.18221	2.0657	2.0488	12.633	0.1075
106	0	-0.21477	-17.483	-0.18874	10.813	97.843	0.13866	1.2955	1.2676	12.492	0.079
37	400	0.19326	-31.266	0.32263	14.468	92.948	0.56022	1.6469	1.5306	12.682	0.07
69	1200	197.82	131.94	415.11	18.291	98.244	1.4904	2.1009	2.064	12.594	0.0685
73	1700	200.03	126	429.26	21.524	99.024	1.0299	2.5672	2.5422	12.584	0.3655
100	1800	106.87	60.392	215.75	19.796	70.985	0.19703	2.308	1.6382	12.514	0.216
68	1550	378.07	251.4	809.41	25.23	71.524	0.63989	3.2106	2.2963	12.609	0.779
98	1850	79.399	-9.2686	181.74	17.859	72.929	0.68344	2.0451	1.4905	12.514	0.132
112	200	-0.09397	-19.398	-0.1644	11.66	99.294	0.13125	1.3704	1.3607	12.479	0.076
113	700	-0.02686	-24.382	-0.28635	8.8882	100.17	0.14237	1.1386	1.1405	12.467	0.0935
74	2150	-0.21195	-37.324	-0.77276	13.413	93.711	0.12384	1.5378	1.4409	12.581	0.1025
90	400	-0.05642	-22.652	-0.01828	6.5297	98.946	0.15626	0.96939	0.95919	12.521	0.06
66	0	-0.73789	-8.5454	-0.69982	16.753	91.089	0.06083	1.9065	1.7365	12.601	0.08
118	550	-0.08053	-23.526	0.71226	14.939	87.286	0.1016	1.6977	1.4814	12.464	0.099
82	1950	15.563	-40.273	40.933	17.334	84.86	0.08492	1.9786	1.6775	12.559	0.1275
111	2000	-0.01878	-14.688	0.60849	16.615	97.36	0.07751	1.89	1.8401	12.489	0.112
61	350	-1.2423	-19.83	-0.21299	16.907	98.869	0.09975	1.9253	1.9035	12.62	0.0975
92	1100	47.161	34.626	113.63	19.835	102.2	0.84836	2.3133	2.3643	12.534	0.0765
82	1150	408.85	247.07	858.89	21.272	71.282	0.82705	2.5291	1.8013	12.552	0.596
59	1400	547.37	361.63	1147.6	24.887	77.832	1.2746	3.1465	2.4478	12.623	0.72
106	1950	0.41044	-35.924	4.4111	14.447	90.74	-0.03274	1.6448	1.492	12.495	0.0675
64	1650	539.11	351.24	1159.3	23.057	66.532	1.2366	2.8187	1.8746	12.611	0.821
111	2200	-0.05905	-18.056	-1.7105	15.438	98.335	0.0979	1.7532	1.724	12.483	0.0855
78	1650	438.16	283.82	935.18	22.958	65.355	0.99475	2.8032	1.8304	12.572	0.6065
