Europe	Asia	Africa	NorthAmerica	Africaner	Portugal	SOTO	Spain	Suisse	Thailand	USAB	USAW	ZULU	male	female	PUSA	PUSB	PUSC	SSPIA	SSPIB	SSPIC	SSPID	!Age
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	1	2	4	2	1	38
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	1	2	4	1	1	38
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	2	1	1	39
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	1	2	2	39
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	2	2	39
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	4	2	2	39
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	3	1	2	2	1	1	39
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	2	2	1	1	40
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	2	2	1	40
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	2	3	2	1	40
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	2	2	1	40
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	2	3	1	1	40
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	2	2	1	1	41
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	2	2	2	1	42
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	1	2	1	1	42
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	2	2	2	1	2	42
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	1	2	1	1	43
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	1	2	1	1	43
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	2	2	1	1	43
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	2	3	2	2	43
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	2	3	2	1	43
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	3	2	2	43
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	1	3	1	2	43
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	1	2	1	1	45
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	1	2	1	1	45
1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	2	4	2	1	46
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	2	2	4	1	2	46
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	2	2	4	1	1	46
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	2	4	2	2	46
