a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
85	0	0	1	0	0	0	0	0	0	0	0
139	135	0	1	0	0	0	0	0	0	0	0
89	195	0	1	0	0	0	0	0	0	0	0
135	113	0	1	0	0	0	0	0	0	0	0
78	135	0	1	0	0	0	0	0	0	0	0
125	251	0	1	0	0	0	0	0	0	0	0
32	240	0	1	0	0	0	0	0	0	0	0
116	247	0	1	0	0	0	0	0	0	0	0
123	135	0	1	0	0	0	0	0	0	0	0
153	31	0	1	0	0	0	0	0	0	0	0
181	30	0	1	0	0	0	0	0	0	0	0
151	90	0	1	0	0	0	0	0	0	0	0
115	131	0	1	0	0	0	0	0	0	0	0
120	4	0	1	0	0	0	0	0	0	0	0
33	241	0	1	0	0	0	0	0	0	0	0
87	37	0	1	0	0	0	0	0	0	0	0
148	240	0	1	0	0	0	0	0	0	0	0
173	124	0	1	0	0	0	0	0	0	0	0
158	255	0	1	0	0	0	0	0	0	0	0
143	192	0	1	0	0	0	0	0	0	0	0
115	231	0	1	0	0	0	0	0	0	0	0
99	227	0	1	0	0	0	0	0	0	0	0
165	240	0	1	0	0	0	0	0	0	0	0
176	192	0	1	0	0	0	0	0	0	0	0
150	3	0	1	0	0	0	0	0	0	0	0
8	195	0	1	0	0	0	0	0	0	0	0
13	16	0	1	0	0	0	0	0	0	0	0
135	0	0	1	0	0	0	0	0	0	0	0
26	195	0	1	0	0	0	0	0	0	0	0
146	240	0	1	0	0	0	0	0	0	0	0
108	16	0	1	0	0	0	0	0	0	0	0
5	39	0	1	0	0	0	0	0	0	0	0
25	255	0	1	0	0	0	0	0	0	0	0
181	0	0	1	0	0	0	0	0	0	0	0
30	227	0	1	0	0	0	0	0	0	0	0
99	8	0	1	0	0	0	0	0	0	0	0
135	195	0	1	0	0	0	0	0	0	0	0
11	209	0	1	0	0	0	0	0	0	0	0
67	127	0	1	0	0	0	0	0	0	0	0
57	28	0	1	0	0	0	0	0	0	0	0
142	129	0	1	0	0	0	0	0	0	0	0
41	15	0	1	0	0	0	0	0	0	0	0
44	193	0	1	0	0	0	0	0	0	0	0
168	243	0	1	0	0	0	0	0	0	0	0
159	4	0	1	0	0	0	0	0	0	0	0
151	0	0	1	0	0	0	0	0	0	0	0
143	32	0	1	0	0	0	0	0	0	0	0
103	135	0	1	0	0	0	0	0	0	0	0
52	8	0	1	0	0	0	0	0	0	0	0
178	223	0	1	0	0	0	0	0	0	0	0
66	127	0	1	0	0	0	0	0	0	0	0
40	24	0	1	0	0	0	0	0	0	0	0
145	0	0	1	0	0	0	0	0	0	0	0
119	253	0	1	0	0	0	0	0	0	0	0
151	248	0	1	0	0	0	0	0	0	0	0
122	195	0	1	0	0	0	0	0	0	0	0
21	255	0	1	0	0	0	0	0	0	0	0
149	241	0	1	0	0	0	0	0	0	0	0
158	63	0	1	0	0	0	0	0	0	0	0
137	97	0	1	0	0	0	0	0	0	0	0
57	253	0	1	0	0	0	0	0	0	0	0
7	242	0	1	0	0	0	0	0	0	0	0
49	94	0	1	0	0	0	0	0	0	0	0
147	193	0	1	0	0	0	0	0	0	0	0
177	225	0	1	0	0	0	0	0	0	0	0
92	120	0	1	0	0	0	0	0	0	0	0
154	223	0	1	0	0	0	0	0	0	0	0
111	253	0	1	0	0	0	0	0	0	0	0
64	227	0	1	0	0	0	0	0	0	0	0
61	62	0	1	0	0	0	0	0	0	0	0
190	0	0	1	0	0	0	0	0	0	0	0
28	120	0	1	0	0	0	0	0	0	0	0
152	0	0	1	0	0	0	0	0	0	0	0
11	253	0	1	0	0	0	0	0	0	0	0
122	7	0	1	0	0	0	0	0	0	0	0
140	124	0	1	0	0	0	0	0	0	0	0
132	2	0	1	0	0	0	0	0	0	0	0
78	159	0	1	0	0	0	0	0	0	0	0
186	254	0	1	0	0	0	0	0	0	0	0
146	255	0	1	0	0	0	0	0	0	0	0
154	232	0	1	0	0	0	0	0	0	0	0
54	32	0	1	0	0	0	0	0	0	0	0
26	199	0	1	0	0	0	0	0	0	0	0
133	124	0	1	0	0	0	0	0	0	0	0
137	2	0	1	0	0	0	0	0	0	0	0
146	0	0	1	0	0	0	0	0	0	0	0
160	28	0	1	0	0	0	0	0	0	0	0
86	176	0	1	0	0	0	0	0	0	0	0
65	255	0	1	0	0	0	0	0	0	0	0
179	0	0	1	0	0	0	0	0	0	0	0
129	120	0	1	0	0	0	0	0	0	0	0
60	143	0	1	0	0	0	0	0	0	0	0
127	192	0	1	0	0	0	0	0	0	0	0
126	126	0	1	0	0	0	0	0	0	0	0
185	232	0	1	0	0	0	0	0	0	0	0
145	87	0	1	0	0	0	0	0	0	0	0
189	223	0	1	0	0	0	0	0	0	0	0
188	194	0	1	0	0	0	0	0	0	0	0
151	0	0	1	0	0	0	0	0	0	0	0
169	112	0	1	0	0	0	0	0	0	0	0
30	1	0	1	0	0	0	0	0	0	0	0
179	96	0	1	0	0	0	0	0	0	0	0
29	4	0	1	0	0	0	0	0	0	0	0
